Category,Image,Title,Price
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/05/z3660156257586_8e71d61800323446d2fae886c365cab1-300x300.jpg,Nike Jordan 1 Low Xám REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3647798628051_0c67dfd321e862c062a3d071b250f5fe-300x300.jpg,Nike Air Force 1 ID Gucci Trắng Xanh Đỏ REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/07/z3655896740390_973f939b21e444bf72504fce6118ec0b-300x300.jpg,Nike Air Force 1 Da Lộn Xám Đen Đế Xám REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/05/z3658185879274_368fcd732720d6af61a48595d3f67d3e-300x300.jpg,Nike Air Force 1 Da Kem Navy Rep 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3660217485461_e5eacde1ff09d5a204228ce1ecf96c2b-300x300.jpg,Nike Jordan 1 Low Xanh Dương Vạch Đen REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/08/z3658150800098_03fba73bd3c30beca04406057e5dc083-300x300.jpg,Nike Air Force 1 Da Kem Xám REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/11/z3851393918539_4725f4edd2406db8d55623f2c1c48e1e-300x300.jpg,Nike Jordan 1 Low Full Trắng REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3650896788459_9414e529ab6b2fc0b113df3a42d1430f-300x300.jpg,Nike Air Force 1 Kem Nâu REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/08/z3673396429394_a9b7d4c15c96d921e00fa01f3b2e810e-300x300.jpg,Giày M2K Trắng Đen REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3649723089942_686964e20c6228899c2e1be16ad4729d-300x300.jpg,Nike Air Jordan 1 Low Paris REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3929920226651_31c2fc1f0b9cf4183d0ef81634abbb46-300x300.jpg,Nike Dunk Low Retro Đen Trắng REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/08/z3647694845008_84e7735ab2abde2fa36ddc784cfbe438-300x300.jpg,Nike Jordan 1 Low Đen Trắng REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/03/z4170501010950_1d777447861dbe7375ba50de17db844f-300x300.jpg,Nike Dunk Low Retro Trắng Xanh REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3657995550151_5e1e02b1b3bb397c0530fe7aae607945-300x300.jpg,Nike Jordan 1 Low Trắng Kẻ Đen REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3988863906051_a7fad3ca3bb82c2cdb995870cbf4ba7c-300x300.jpg,Nike Jordan 1 Low Nâu Trắng REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/09/z3720911318212_c9c4700f5f97dfa1e246469c6b431949-300x300.jpg,Nike Jordan 1 Low Xanh Lá REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/07/z4506723606346_e9c3233a99c624b9eada3c1207fec9ff-300x300.jpg,Nike Air Force 1 Trắng Xanh Lục REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3994860606523_cad36640b245a3bdc712291a3ab9e0ac-300x300.jpg,Nike Jordan 1 High Xám REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3991876194123_31481c59b0487381e4da38d2881922c0-300x300.jpg,Nike Jordan 1 High Full Trắng REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4631180624723_73de08aad0e12873cff61145d47c784f-300x300.jpg,Nike Air Force 1 07 Kem Tím REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/09/z3730958564371_db0f2c548eb03d5fea1449300912b4b9-300x300.jpg,Nike Jordan 1 High Xanh Lá REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/07/z4506724473567_45256206435a3768a4d60269c5369ac4-300x300.jpg,Nike Air Force 1 Đen Trắng REP 1:1,550
